"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"229",14,11,12,34,21,10,25,22,13,225,19,17,17,19,14,9,8,219,215,16
"230",87,16,55,31,18,23,24,92,25,45,96,81,18,12,15,12,17,30,21,12
"231",12,64,33,13,173,12,15,30,11,107,15,74,19,27,21,127,79,471,18,10
"232",15,24,16,14,15,13,32,9,11,47,17,13,16,11,13,18,97,21,54,11
"233",16,40,181,16,157,181,128,20,38,11,22,8,32,16,18,9,26,182,26,11
"234",34,12,133,16,25,22,15,12,14,30,144,146,15,16,15,137,16,16,9,118
"235",17,8,11,15,24,19,14,9,38,19,38,9,26,27,22,67,74,21,16,69
"236",37,21,33,10,9,43,11,14,11,9,14,41,9,19,22,19,12,12,33,7
"237",10,12,22,29,9,27,23,13,23,12,8,25,16,11,14,11,21,13,13,16
"238",116,16,29,33,34,16,13,23,131,20,19,11,108,51,101,18,30,75,19,12
"239",43,8,12,45,33,46,8,12,17,9,9,15,8,12,9,13,9,11,9,9
"240",39,8,11,10,18,9,6,19,10,12,14,14,7,30,10,34,16,9,40,10
"241",20,12,171,18,19,121,48,27,11,30,15,29,26,122,13,131,12,9,22,20
"242",14,17,NA,7,10,36,14,166,39,11,16,10,NA,13,46,25,11,8,232,29
"243",10,9,47,9,22,35,43,9,16,46,11,10,13,16,14,15,15,12,12,13
"244",23,17,17,26,42,134,40,17,16,13,14,24,29,43,19,122,35,109,14,103
"245",36,17,30,42,27,12,21,8,10,16,67,21,42,91,90,19,20,68,22,12
"246",23,8,81,14,8,12,16,58,18,8,9,28,30,125,122,105,12,8,11,35
"247",93,33,25,27,28,11,71,17,14,36,13,15,27,12,53,39,27,12,18,30
"248",17,16,31,NA,NA,14,11,169,15,9,11,20,172,16,23,10,17,19,28,10
"249",29,43,14,16,12,160,199,12,10,12,10,18,225,18,9,11,34,25,10,11
"250",10,24,13,26,12,15,59,11,67,9,30,9,13,15,12,23,66,17,70,19
"251",15,16,23,281,27,8,19,301,13,88,12,22,273,10,18,13,10,18,21,158
"252",16,23,13,13,8,21,49,11,15,16,90,35,14,8,14,18,133,10,15,15
"253",9,18,17,86,14,9,12,78,17,17,23,10,22,7,18,38,6,88,43,11
"254",12,22,98,38,39,61,11,14,59,12,21,24,13,100,98,99,11,54,15,73
"255",21,19,20,21,75,409,228,24,17,14,21,19,394,18,24,19,413,19,17,25
"256",12,13,13,75,12,36,15,19,102,10,14,12,15,16,15,106,8,12,104,12
"257",8,41,18,17,11,19,32,23,39,10,19,16,16,21,10,28,32,14,28,11
"258",14,12,68,17,16,13,28,23,20,22,15,27,16,21,19,12,11,21,72,13
"259",14,271,15,10,167,238,13,29,36,10,13,13,14,11,229,13,10,11,13,11
"260",21,12,17,13,14,47,55,11,25,13,13,11,18,14,12,13,23,15,11,42
"261",7,7,30,13,11,45,40,31,26,13,14,8,16,12,39,18,16,15,25,29
"262",15,38,11,NA,123,12,39,17,NA,238,10,19,14,NA,16,14,14,19,22,98
"263",62,31,11,8,13,9,26,9,15,21,16,74,61,44,21,13,18,14,29,19
"264",16,16,82,14,15,18,14,19,27,22,40,84,16,22,94,14,14,14,17,13
"265",21,93,15,15,23,96,7,10,18,14,35,10,22,89,39,16,42,18,13,13
"266",210,17,18,83,9,96,34,84,28,15,22,14,296,42,20,8,301,23,284,17
"267",63,47,15,15,28,36,13,17,21,17,35,37,22,23,10,57,60,16,14,66
"268",297,NA,66,18,21,35,41,22,24,49,12,13,14,31,17,192,59,10,14,9
"269",13,101,19,16,13,14,98,41,12,13,23,10,114,18,26,54,28,124,9,12
"270",17,23,108,17,8,111,24,12,16,9,13,12,10,116,28,26,16,10,7,13
"271",33,54,22,22,17,32,244,26,154,8,16,13,16,12,233,53,30,8,10,12
"272",44,47,14,14,13,18,16,10,18,11,11,10,12,11,11,27,14,11,44,26
"273",9,112,13,100,9,117,17,10,96,17,35,14,13,30,11,31,29,16,13,13
"274",77,12,9,14,8,66,15,14,17,37,341,27,10,312,369,17,15,12,135,186
"275",11,19,7,9,23,10,199,18,11,208,17,12,15,234,10,40,21,11,67,194
"276",10,11,18,16,18,208,22,16,19,196,170,10,34,30,28,232,40,34,172,19
"277",32,13,14,45,44,8,26,10,10,22,48,21,26,36,10,18,9,21,13,40
"278",8,52,16,80,14,85,14,10,25,16,12,10,16,32,19,82,17,13,27,11
"279",24,11,20,17,16,70,12,15,10,30,81,85,9,13,18,30,20,45,16,17
"280",27,14,11,17,24,83,85,10,16,21,14,15,78,68,11,12,24,12,10,9
"281",11,13,31,29,10,46,20,15,13,14,10,41,14,10,20,24,30,9,14,10
"282",15,114,33,17,13,13,34,18,12,23,11,11,39,30,12,22,26,92,39,107
"283",18,22,11,73,13,13,22,30,14,23,13,77,10,27,12,77,10,16,67,7
"284",127,14,59,14,15,148,19,11,12,17,11,14,15,24,9,18,9,145,75,10
"285",21,32,11,14,21,22,10,83,27,19,104,21,25,14,15,134,99,42,19,20
"286",23,87,NA,26,9,18,265,49,24,21,9,21,10,28,17,16,NA,10,28,15
"287",89,10,8,17,16,20,8,25,95,NA,60,9,24,NA,16,13,20,21,24,25
"288",14,37,21,19,12,32,17,29,10,11,25,14,15,12,37,9,16,20,10,13
"289",9,10,11,23,15,15,71,25,51,29,120,23,112,18,10,44,37,40,36,15
"290",59,13,187,182,91,10,24,12,155,73,12,187,13,143,15,16,12,13,12,10
"291",16,24,12,68,22,10,62,31,45,19,18,28,20,14,13,12,12,11,18,119
"292",9,37,8,12,25,12,17,11,13,253,30,10,277,27,17,13,10,11,14,22
"293",132,13,12,13,41,127,24,9,13,8,32,108,26,18,19,48,8,12,11,11
"294",38,31,17,26,19,34,22,20,17,16,9,28,17,10,28,17,15,19,12,42
"295",41,19,14,47,11,487,28,NA,24,10,NA,12,23,NA,NA,14,10,12,20,15
"296",15,14,13,10,149,15,10,13,9,148,9,9,11,13,12,101,27,148,12,12
"297",9,274,13,11,17,262,9,11,6,10,249,8,11,12,248,10,14,9,24,9
"298",30,10,38,14,14,25,11,15,23,15,15,42,11,16,13,17,17,10,15,27
"299",15,11,97,14,20,13,95,15,17,12,101,10,20,15,20,13,26,30,32,91
"300",8,21,10,13,12,18,11,15,9,16,20,10,45,14,37,12,15,50,10,25
"301",89,42,14,84,33,30,23,20,16,12,10,27,14,11,31,29,24,77,55,19
"302",20,16,13,43,12,19,16,55,18,61,444,13,480,389,404,8,15,62,9,13
