"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"152",13,12,13,13,116,22,22,18,155,16,10,16,80,27,12,19,8,22,19,9,15,18,19,9,19,18,8,11,6,9
"153",9,12,13,12,13,10,21,12,9,15,13,11,35,12,13,11,11,11,9,12,9,10,9,15,13,9,16,15,11,11
"154",10,15,13,17,11,14,12,9,12,14,11,13,15,17,465,103,13,16,10,11,10,16,478,12,10,64,15,10,8,10
"155",20,14,10,9,19,12,10,19,96,79,16,17,11,18,15,15,17,10,21,21,13,21,18,14,16,16,101,12,15,18
"156",9,7,13,15,15,11,20,17,13,50,21,20,14,9,12,11,20,8,19,9,14,51,22,15,14,24,9,15,10,16
"157",8,7,16,10,18,18,21,8,8,8,14,19,17,14,19,20,8,18,16,18,7,18,20,16,33,12,17,11,11,31
"158",10,42,11,12,12,46,11,11,29,13,14,12,36,22,22,8,19,14,62,13,32,16,28,17,10,11,11,22,60,15
"159",10,20,14,10,9,20,45,21,12,14,11,22,49,18,8,11,21,16,14,12,10,18,35,13,10,16,8,13,13,20
"160",31,11,10,8,8,16,14,12,11,13,9,13,11,18,12,9,15,17,15,12,9,13,11,16,14,10,9,11,13,34
"161",13,11,10,11,10,8,8,11,9,14,11,9,11,13,10,12,12,11,25,14,7,28,8,10,11,12,9,8,12,10
"162",12,13,11,7,10,9,14,11,11,10,9,8,9,11,8,11,14,12,29,10,11,13,12,10,8,10,14,29,9,10
"163",44,25,19,11,10,21,11,9,9,16,9,25,23,25,17,8,12,22,26,14,10,42,26,16,11,10,11,10,20,13
"164",13,9,14,8,11,25,8,9,8,13,8,12,17,12,9,9,9,45,17,8,17,47,9,9,15,14,9,11,17,13
"165",27,16,30,24,12,16,23,30,11,18,25,16,12,11,18,15,16,13,11,60,31,17,73,27,11,13,13,31,15,22
"166",8,24,11,13,32,23,26,15,8,26,17,20,20,32,27,31,9,12,31,16,15,23,32,11,10,13,58,7,59,13
"167",41,9,12,9,9,10,13,8,14,10,18,9,16,16,17,13,40,8,17,19,13,9,16,13,9,10,12,7,26,25
"168",14,13,25,13,9,10,9,14,13,17,16,10,20,17,10,10,9,10,9,13,35,18,11,9,12,8,51,14,21,37
"169",21,16,18,27,385,30,13,85,111,13,373,10,25,9,26,13,25,12,23,23,25,12,24,26,26,20,10,9,13,19
"170",7,10,18,8,12,64,14,18,11,15,11,20,16,15,10,56,11,20,9,9,17,12,10,21,13,9,13,33,7,12
"171",16,10,15,25,15,8,15,9,10,11,46,16,11,27,12,13,11,17,11,11,11,16,10,47,11,15,13,12,16,16
"172",26,10,18,18,13,11,20,44,95,14,9,14,20,12,66,21,13,11,12,8,9,14,90,10,21,9,16,12,15,19
"173",11,8,9,6,10,12,46,33,13,15,7,44,13,12,9,10,15,16,18,8,11,20,15,33,19,9,18,12,8,9
"174",28,7,23,19,17,9,8,30,9,10,7,47,16,12,9,13,21,24,9,36,16,17,8,10,15,15,10,12,15,43
"175",15,10,9,17,10,13,44,14,14,18,11,13,15,12,12,24,10,38,11,15,10,12,10,9,13,11,16,17,10,12
"176",9,8,12,11,10,12,10,11,9,14,11,10,9,7,16,13,12,8,29,14,30,9,13,11,11,11,10,10,12,14
"177",8,9,15,12,18,10,14,21,17,13,48,18,10,9,13,54,11,14,13,53,30,9,11,12,17,23,22,9,7,14
"178",15,16,9,15,16,8,18,9,9,10,20,9,14,20,9,18,20,20,13,18,10,378,346,9,10,11,12,12,13,10
"179",15,11,15,10,37,67,25,62,10,68,15,10,13,37,36,12,15,10,15,21,16,17,14,11,47,47,13,10,8,12
"180",12,21,9,14,13,25,56,18,13,10,15,69,22,9,13,9,69,29,19,18,11,10,7,10,15,12,13,21,9,10
"181",12,63,10,7,11,10,19,9,14,18,10,77,12,15,9,10,11,13,15,12,25,27,12,15,76,13,23,16,14,16
"182",18,15,11,8,10,21,21,17,14,27,11,59,21,12,20,13,9,16,14,13,12,13,15,7,11,13,16,60,29,10
