"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"378",30,11,36,12,9,11,13,12,29,9
"379",9,10,10,23,10,13,10,9,22,8
"380",16,13,46,14,46,14,12,13,12,13
"381",11,13,57,9,10,61,15,22,30,9
"382",10,71,10,17,7,69,11,8,12,15
"383",44,7,14,44,139,19,14,122,142,8
"384",13,29,15,16,14,12,110,12,77,13
"385",93,5,13,25,14,32,21,88,28,19
"386",66,13,94,18,16,11,22,19,11,98
"387",9,12,10,30,11,10,12,11,31,9
"388",9,10,9,6,8,8,6,8,29,22
"389",8,9,8,8,8,9,11,7,30,31
"390",9,34,10,69,22,77,24,7,19,12
"391",17,10,18,27,21,63,20,23,10,63
"392",9,45,10,9,10,10,40,10,14,12
"393",26,13,25,41,10,12,16,14,12,45
"394",8,67,14,13,8,10,14,17,69,26
"395",55,14,35,55,12,28,29,11,11,20
"396",23,10,14,18,57,14,14,8,54,14
"397",11,52,21,79,11,11,10,79,38,17
"398",15,15,9,9,21,8,9,18,13,17
"399",10,15,10,90,10,11,144,12,11,34
"400",NA,14,8,483,128,64,20,12,12,9
"401",69,14,10,70,26,16,54,11,8,7
"402",70,15,16,20,8,63,16,15,43,8
"403",17,17,17,20,15,50,16,17,47,21
"404",13,11,12,16,14,29,58,9,13,53
"405",12,41,9,15,9,21,43,9,15,29
"406",31,11,38,77,23,13,18,85,29,14
"407",16,66,58,13,69,16,12,7,15,11
"408",10,18,48,47,13,11,11,16,15,14
"409",10,353,354,10,11,356,50,13,15,10
"410",12,109,10,17,39,9,9,10,112,40
"411",12,11,11,7,25,11,26,13,8,11
"412",8,38,9,61,27,12,8,24,48,9
"413",14,38,16,55,14,38,12,8,54,40
"414",15,16,9,11,34,12,50,11,45,15
"415",8,18,8,12,8,10,24,31,19,32
"416",9,37,9,36,11,8,10,9,9,8
"417",15,13,9,32,34,12,9,9,11,11
"418",16,298,35,32,292,16,11,17,301,15
"419",10,8,9,10,12,28,21,10,11,6
"420",74,70,11,10,12,10,28,25,26,11
"421",9,80,40,27,25,24,29,84,38,67
"422",16,14,15,12,15,22,63,53,14,83
"423",8,8,19,9,18,7,8,9,9,8
"424",22,8,8,7,7,7,8,14,7,9
"425",29,11,10,9,14,11,14,31,9,10
"426",30,15,17,22,56,16,52,13,19,26
"427",16,11,18,33,11,17,15,29,29,10
"428",13,118,26,115,9,31,10,78,15,10
"429",15,21,11,23,13,11,16,34,37,13
"430",18,7,19,11,12,15,75,12,16,71
"431",54,8,8,56,7,22,119,12,118,10
"432",18,7,11,13,13,7,34,45,20,14
"433",249,10,12,29,60,19,15,242,11,14
"434",10,23,60,14,42,19,46,15,324,17
"435",10,12,29,41,62,47,22,13,13,17
"436",12,37,20,18,19,12,18,33,17,15
"437",14,12,43,13,10,8,12,51,11,14
"438",260,78,11,11,12,11,44,13,61,21
"439",9,8,14,11,27,6,11,8,28,8
"440",13,21,20,32,21,13,52,36,16,13
"441",8,389,7,7,12,16,9,129,209,36
"442",39,11,22,40,57,12,59,42,9,38
"443",45,9,11,53,9,7,7,9,57,10
"444",11,85,8,10,11,14,16,80,9,8
"445",28,19,77,12,246,14,223,32,256,14
"446",102,14,10,87,6,12,11,6,8,9
"447",328,121,21,51,385,21,14,18,11,10
"448",13,12,20,17,137,11,16,9,23,145
"449",11,31,25,10,18,30,9,19,16,13
"450",15,195,16,51,13,14,185,11,13,11
"451",12,31,13,18,19,18,16,56,43,13
"452",26,13,43,12,11,37,17,15,14,49
"453",24,52,12,13,9,38,17,22,18,45
"454",19,13,11,6,10,7,96,NA,7,13
"455",10,9,22,13,20,27,32,37,9,8
"456",12,137,18,12,26,10,140,15,42,18
"457",9,40,9,40,11,7,18,15,15,16
"458",9,54,22,9,23,53,10,10,8,14
"459",9,7,69,7,40,8,7,7,8,8
"460",15,19,11,13,17,15,14,23,11,23
"461",10,21,25,32,29,12,15,14,12,14
"462",13,37,11,168,212,13,226,15,19,14
"463",9,349,22,372,22,12,13,11,380,17
"464",12,41,23,9,45,7,9,13,9,35
"465",22,31,13,11,33,13,25,13,13,13
"466",10,12,26,28,11,9,13,14,9,13
"467",43,148,11,47,150,34,149,8,39,19
"468",56,12,86,54,38,11,17,98,96,9
"469",14,39,120,16,107,16,17,117,15,22
"470",19,11,42,18,12,25,34,46,13,9
"471",11,18,10,11,9,62,15,32,10,64
"472",18,12,57,54,9,31,28,10,14,16
"473",16,47,11,28,15,22,29,19,13,13
"474",10,10,10,30,10,10,11,11,30,9
"475",14,11,20,18,30,67,69,45,13,41
"476",9,27,12,10,14,10,12,12,28,12
"477",63,13,14,14,38,13,14,12,60,9
"478",8,25,8,6,8,9,12,12,19,25
"479",8,81,11,80,68,9,9,14,13,31
"480",86,16,15,28,15,17,10,84,23,9
"481",65,8,189,12,316,9,8,10,8,7
"482",7,16,159,12,8,123,45,13,9,20
"483",15,10,11,7,9,10,11,40,42,10
"484",59,27,13,17,26,21,10,59,9,9
"485",73,8,64,21,19,12,11,10,8,21
"486",12,9,10,9,23,77,12,9,9,66
"487",12,31,14,15,10,29,12,9,13,13
"488",12,13,9,12,16,15,16,30,31,14
"489",9,289,9,9,288,13,276,35,34,285
"490",15,34,9,13,14,7,32,26,14,15
"491",11,18,12,144,34,145,14,24,16,14
"492",23,15,11,19,46,10,48,8,9,15
"493",15,28,10,13,12,10,14,11,25,12
"494",31,33,7,19,15,11,16,17,21,10
"495",16,11,10,22,NA,NA,14,10,11,117
"496",60,10,19,28,12,58,11,9,26,15
"497",12,127,9,9,12,107,10,13,8,133
"498",8,104,108,14,11,16,15,12,8,16
"499",15,17,8,12,11,9,10,15,37,38
"500",38,9,26,18,11,9,35,10,13,7
"501",88,11,23,50,11,42,10,34,15,8
"502",27,11,29,11,10,14,10,13,12,7
"503",12,13,8,29,13,10,13,13,15,30
"504",68,15,16,27,29,12,10,16,73,9
"505",NA,9,27,9,11,NA,13,12,22,23
"506",11,15,73,36,31,15,14,74,47,37
"507",15,12,9,72,15,10,12,9,10,116
"508",9,8,99,28,15,20,33,39,23,8
"509",72,43,11,11,16,24,26,69,46,19
