"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"653",136,10,22,23,18,12,21,25,24,9,25,18,19,20,17,21,22,10,9,17,21,40,11,15,11,17,10,122,11,13
"654",21,17,12,29,17,16,23,33,20,41,30,70,19,12,43,23,17,18,31,12,72,70,13,18,25,15,43,46,11,12
"655",16,27,28,12,12,28,116,9,463,23,8,15,10,12,8,38,22,13,13,11,448,18,12,27,111,21,13,10,17,118
"656",17,55,14,16,13,14,17,12,10,12,281,41,47,40,8,35,278,70,14,11,47,21,9,14,26,16,22,20,18,282
"657",10,12,14,20,11,17,17,10,45,10,20,17,26,11,10,16,43,9,18,8,17,13,9,27,11,13,9,33,12,13
"658",10,12,116,18,12,36,79,16,19,20,18,487,13,NA,22,32,17,12,11,NA,10,75,12,18,15,13,156,12,12,93
"659",292,9,12,12,9,253,13,10,32,14,35,249,9,40,13,370,18,14,11,57,10,14,8,45,24,22,243,53,20,69
"660",11,9,22,53,30,15,28,7,24,43,15,15,41,49,198,24,12,17,13,10,11,36,9,22,12,218,9,17,29,27
"661",23,11,18,24,16,22,17,16,11,195,12,31,11,24,183,9,15,38,10,12,185,11,11,10,17,81,18,12,16,24
"662",215,9,14,62,80,41,21,13,13,20,16,37,73,47,63,27,10,15,20,18,18,19,22,8,286,50,13,161,12,15
"663",20,25,17,36,37,33,10,130,12,25,17,10,135,40,11,10,17,14,35,29,10,24,11,20,16,133,12,20,17,141
"664",34,96,16,34,27,19,9,8,142,11,28,10,139,9,24,17,10,15,11,12,34,22,10,14,8,18,41,13,14,10
"665",NA,42,24,20,20,22,16,29,16,21,19,32,18,17,14,18,23,34,30,16,28,NA,11,17,15,15,NA,23,66,17
"666",13,17,10,10,11,10,13,20,11,11,12,9,10,11,14,10,19,7,11,12,15,104,47,12,113,41,106,18,24,95
"667",17,12,15,NA,28,14,64,31,NA,18,21,10,17,23,15,NA,17,14,16,12,12,11,21,21,12,35,28,18,11,12
"668",16,402,20,13,11,19,38,16,18,24,19,19,47,8,20,10,49,13,12,20,376,18,14,9,277,11,11,14,13,9
"669",37,101,11,15,14,19,20,40,31,18,16,13,64,16,12,14,11,17,16,190,96,18,33,22,12,15,8,37,20,14
"670",NA,21,12,10,16,8,12,35,21,13,20,141,14,NA,18,14,44,23,13,17,17,17,40,13,13,14,24,18,13,50
"671",27,31,10,14,13,276,21,16,23,35,13,15,41,12,14,23,24,8,364,354,45,11,12,17,18,344,8,10,28,331
"672",17,258,18,18,11,12,43,40,18,15,26,10,15,293,19,22,52,176,37,11,14,14,31,23,24,12,38,32,47,312
"673",262,18,362,24,23,28,28,27,10,9,15,23,21,22,25,12,16,39,19,21,360,27,12,24,10,13,19,10,20,19
"674",147,40,14,10,22,10,34,18,10,92,10,27,8,79,32,7,11,46,9,11,16,12,7,10,9,293,7,12,9,16
