"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"714",11,13,21,12,9,13,21,19,14,23,10,14,9,12,12,18,17,19,9,26,21,10,9,45,9,10,22,9,17,23,14,46,21,14,11,8,15,9,19,11
"715",14,12,10,15,15,36,11,10,53,14,14,16,9,15,11,14,15,13,12,16,15,9,14,10,14,14,11,11,9,14,12,15,13,14,14,11,14,15,10,16
"716",10,8,11,18,9,12,11,24,20,18,12,16,16,19,30,11,25,9,12,13,10,14,2,13,15,8,15,15,14,11,16,12,9,16,11,11,12,13,13,29
"717",13,35,11,11,12,12,12,11,13,11,12,12,9,14,12,11,37,10,12,13,9,9,9,10,10,11,10,13,12,11,10,9,11,11,12,11,13,10,13,10
"718",10,14,14,18,12,11,13,11,11,13,9,9,230,11,19,11,9,12,19,9,22,17,12,11,22,10,14,10,19,64,17,17,11,12,229,14,19,19,9,63
"719",16,8,10,13,9,14,14,12,12,9,10,14,8,13,11,10,11,9,12,9,11,31,10,51,23,11,25,10,9,16,14,39,16,11,9,12,52,10,15,10
"720",24,13,20,22,18,16,21,13,10,16,23,24,20,13,22,14,11,22,25,10,7,25,22,24,14,18,23,12,25,22,13,12,11,21,25,12,32,20,7,38
"721",12,80,7,9,9,18,10,15,27,26,12,7,11,13,10,12,12,9,13,15,67,20,9,9,15,24,8,16,10,10,10,17,12,10,13,11,10,8,9,11
"722",28,29,12,10,11,18,10,18,58,20,17,64,19,11,21,30,8,16,14,14,17,26,13,27,8,19,11,26,13,28,10,12,19,17,24,12,8,10,16,16
"723",17,14,10,9,11,14,18,17,20,13,18,18,12,16,20,11,10,15,18,9,12,19,17,18,17,13,16,38,16,16,13,8,11,8,11,47,18,18,18,13
