"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"77",13,17,11,11,12,14,14,56,16,39,59,14,9,10,13,12,29,10,29,16,9,11,15,9,15,20,9,30,9,8,20,11,11,17,8,51,29,7,11,13,26,32,15,63,15,13,13,22,19,16
"78",80,14,13,8,17,13,12,79,16,12,8,9,9,8,9,16,11,13,13,23,7,16,21,28,10,77,16,23,13,12,12,80,13,18,15,26,11,29,12,8,23,10,24,16,6,13,10,11,15,9
"79",54,40,11,37,21,9,10,26,19,11,29,20,12,18,37,13,11,19,29,29,451,19,12,12,8,21,16,22,17,18,10,9,13,18,14,9,428,34,22,12,19,18,141,10,15,73,15,12,14,18
"80",13,9,10,9,11,7,17,11,14,11,16,13,14,181,21,17,9,20,15,15,12,14,16,14,10,192,9,10,125,48,15,13,143,13,25,12,185,7,16,17,20,14,12,8,12,11,17,8,11,12
"81",12,24,16,13,34,13,243,26,11,32,11,12,27,15,11,206,21,11,63,37,17,20,16,16,9,9,9,16,16,9,17,8,11,12,12,11,29,35,9,11,12,18,7,21,213,18,26,9,9,14
"82",12,13,118,16,32,148,16,14,23,29,39,21,117,13,13,17,14,38,131,10,9,16,11,7,10,36,11,15,38,18,21,31,28,15,96,19,29,21,9,12,11,14,10,10,23,14,10,13,10,46
"83",13,9,27,10,11,17,11,60,63,8,14,12,15,NA,NA,17,12,22,14,35,12,25,22,19,21,12,22,20,11,8,12,9,10,15,18,9,10,19,23,23,10,10,NA,NA,13,17,13,29,42,14
"84",15,17,9,20,21,NA,28,56,10,13,10,11,80,228,18,16,16,114,10,289,30,17,12,68,47,36,10,23,31,25,12,11,41,17,36,17,38,16,12,451,13,18,8,36,18,27,9,10,8,31
"85",7,13,18,14,9,52,23,70,11,72,12,21,NA,17,11,15,66,11,111,176,NA,8,11,9,16,10,15,7,14,20,10,10,34,8,20,17,34,37,10,9,8,25,14,13,11,12,13,8,7,18
"86",49,23,24,18,36,12,13,18,7,25,8,20,9,39,15,16,12,14,66,13,20,19,13,9,232,50,11,58,30,12,249,47,13,20,94,10,13,247,10,17,15,22,268,15,89,12,36,13,11,11
