"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"125",26,19,13,12,66,9,45,14,94,51,31,14,10,97,8,8,96,9,16,17,15,22,98,16,12,18,13,12,8,14,9,26,12,15,25,48,9,16,23,26
"126",10,14,14,24,23,9,10,25,236,25,57,14,28,37,12,14,23,12,15,289,11,8,11,38,14,7,25,14,26,9,258,73,7,13,13,8,12,16,10,10
"127",178,16,13,16,479,13,14,16,53,16,20,9,16,21,18,47,456,12,23,18,20,16,11,NA,12,9,9,16,10,12,10,14,13,14,24,12,15,25,27,38
"128",14,18,15,382,17,12,22,16,18,20,9,17,119,444,39,9,16,10,469,471,12,15,22,17,12,10,20,21,9,17,14,10,19,10,56,460,17,486,23,19
"129",59,417,14,106,22,18,18,14,78,22,29,44,411,10,19,19,13,134,9,10,47,13,10,17,10,19,13,12,25,23,10,10,20,13,21,45,11,15,15,13
"130",356,17,15,14,19,13,19,229,14,13,18,24,14,9,23,8,13,299,10,9,13,14,18,292,16,9,12,31,16,15,29,14,11,35,18,12,28,14,14,9
"131",19,97,13,19,28,15,74,10,11,22,10,16,12,12,14,9,11,16,22,27,11,12,11,18,28,9,19,16,34,17,19,14,10,85,13,15,56,17,13,11
"132",18,15,11,50,11,19,35,15,NA,NA,32,11,23,13,10,8,22,10,103,13,8,11,12,17,70,77,NA,7,64,11,23,14,43,9,11,23,21,16,11,10
"133",26,7,22,29,11,12,NA,NA,NA,12,NA,NA,NA,21,11,NA,25,14,15,11,NA,NA,14,11,12,NA,20,96,15,NA,9,13,14,15,21,23,NA,14,8,NA
"134",12,10,74,12,24,12,14,30,40,8,9,13,13,43,11,38,12,18,20,11,11,30,16,10,22,44,17,43,11,27,8,17,19,25,62,19,16,38,75,12
"135",44,19,13,14,13,12,10,17,12,8,16,9,12,21,12,15,16,26,10,10,120,26,117,23,18,16,12,89,14,18,18,10,11,20,18,57,12,13,12,11
"136",85,15,25,11,12,41,246,22,62,19,71,11,22,15,13,78,16,297,17,12,30,18,18,26,18,22,58,8,67,12,88,23,26,37,13,330,15,25,12,11
"137",18,14,15,10,9,14,11,9,23,22,18,74,141,31,34,24,25,19,12,18,12,15,7,10,452,218,161,89,425,14,103,19,15,10,19,9,16,12,23,9
"138",12,9,32,124,10,8,19,9,9,14,126,18,12,10,13,12,128,9,15,11,13,40,10,11,15,11,8,10,11,37,10,8,12,16,16,15,8,31,10,10
"139",162,15,13,14,12,12,11,107,9,24,12,10,20,10,8,16,349,NA,26,10,13,17,15,18,76,16,9,12,NA,8,9,19,17,11,10,21,13,12,9,25
"140",49,54,10,9,10,28,10,31,26,102,14,46,17,16,7,33,20,14,13,25,104,27,17,15,15,81,17,12,36,10,55,22,30,11,112,35,17,22,30,12
"141",23,11,27,20,8,11,51,10,17,19,17,11,14,17,42,13,12,8,10,18,16,13,13,40,8,11,15,15,14,25,15,30,14,56,43,24,14,15,9,9
"142",32,13,26,18,12,22,284,25,27,10,24,19,18,22,126,15,17,11,30,11,11,283,18,18,10,10,26,94,20,49,40,13,12,283,43,26,14,22,21,10
"143",29,22,16,13,14,18,21,18,15,12,33,14,12,12,12,74,17,11,14,30,22,14,13,14,12,28,15,18,18,24,17,22,69,12,14,9,17,18,20,71
"144",27,14,10,20,17,16,30,12,66,17,53,8,16,16,15,13,18,21,82,91,33,15,88,14,14,27,15,11,16,9,11,13,12,24,16,10,17,15,34,14
"145",9,50,48,21,20,44,22,14,7,9,13,11,14,11,62,10,19,14,14,118,116,14,12,30,15,10,22,8,12,19,16,120,14,29,46,26,21,25,14,7
"146",8,27,9,16,66,14,12,11,10,32,12,11,13,282,17,16,15,14,33,15,407,10,13,11,20,14,11,9,17,9,12,406,31,13,8,370,41,10,15,7
"147",12,14,11,11,12,21,12,9,10,15,12,11,14,14,8,16,11,10,10,36,11,9,36,16,14,18,13,9,11,8,12,9,8,15,17,14,9,33,9,13
"148",17,22,22,14,39,21,12,NA,66,22,14,18,9,21,18,17,103,15,12,10,NA,NA,34,10,25,16,10,37,14,43,11,33,34,9,31,NA,20,10,63,17
"149",20,57,14,31,104,15,13,19,11,44,69,17,33,NA,30,14,10,8,21,27,8,9,31,9,20,25,451,11,45,8,44,13,20,13,11,9,NA,10,30,17
"150",23,40,19,9,9,20,14,16,10,24,11,NA,16,18,13,12,8,14,17,229,9,16,NA,14,13,9,13,34,76,29,23,13,19,10,95,11,9,10,8,13
